date,total,18-45,18-45%,46-65,46-65%,66-79,66-79%,80+,80+%,children,children%,numerical,total_computed
01.04.2020,267,117,43.82,87,32.58,22,8.24,12,4.49,29,10.86,TRUE,267
02.04.2020,595,274,46.00,196,33.00,54,9.00,36,6.00,36,6.00,FALSE,595
03.04.2020,448,199,44.42,159,35.49,73,16.29,,0.00,17,3.79,TRUE,448
04.04.2020,434,210,48.39,143,32.95,52,11.98,15,3.46,14,3.23,TRUE,434
05.04.2020,536,250,46.64,189,35.26,55,10.26,23,4.29,19,3.54,TRUE,536
06.04.2020,591,264,44.67,204,34.52,70,11.84,23,3.89,30,5.08,TRUE,591
07.04.2020,697,331,47.50,237,34.00,66,9.50,35,5.00,28,4.00,FALSE,697
08.04.2020,660,264,40.00,257,39.00,73,11.00,26,4.00,40,6.00,FALSE,660
09.04.2020,857,403,47.00,300,35.00,94,11.00,34,4.00,26,3.00,FALSE,857
10.04.2020,1124,483,43.00,410,36.50,129,11.50,39,3.50,62,5.50,FALSE,1124
11.04.2020,1030,489,47.50,366,35.50,82,8.00,41,4.00,52,5.00,FALSE,1030
12.04.2020,1306,588,45.00,470,36.00,137,10.50,65,5.00,46,3.50,FALSE,1306
13.04.2020,1355,617,45.50,461,34.00,136,10.00,68,5.00,75,5.50,FALSE,1355
14.04.2020,1489,663,44.50,543,36.50,134,9.00,74,5.00,74,5.00,FALSE,1489
15.04.2020,1774,763,43.00,656,37.00,195,11.00,71,4.00,89,5.00,FALSE,1774
16.04.2020,1370,617,45.00,480,35.00,144,10.50,55,4.00,75,5.50,FALSE,1370
17.04.2020,1959,1019,52.00,627,32.00,147,7.50,69,3.50,98,5.00,FALSE,1959
18.04.2020,2649,1192,45.00,927,35.00,252,9.50,106,4.00,172,6.50,FALSE,2649
19.04.2020,3570,1571,44.00,1250,35.00,375,10.50,196,5.50,179,5.00,FALSE,3570
20.04.2020,2026,891,44.00,729,36.00,203,10.00,111,5.50,91,4.50,FALSE,2026
21.04.2020,3083,1372,44.50,1079,35.00,277,9.00,170,5.50,185,6.00,FALSE,3083
22.04.2020,2548,1185,46.50,866,34.00,229,9.00,166,6.50,102,4.00,FALSE,2548
23.04.2020,1959,793,40.50,735,37.50,225,11.50,147,7.50,59,3.00,FALSE,1959
24.04.2020,2957,1286,43.50,1079,36.50,296,10.00,163,5.50,133,4.50,FALSE,2957
25.04.2020,2612,1097,42.00,980,37.50,235,9.00,118,4.50,183,7.00,FALSE,2612
26.04.2020,2971,1233,41.50,1084,36.50,357,12.00,178,6.00,119,4.00,FALSE,2971
27.04.2020,2871,1177,41.00,1134,39.50,258,9.00,144,5.00,158,5.50,FALSE,2871
28.04.2020,3075,1307,42.50,1169,38.00,246,8.00,138,4.50,215,7.00,FALSE,3075
29.04.2020,2220,866,39.00,844,38.00,226,10.20,118,5.30,167,7.50,FALSE,2220
30.04.2020,3093,1290,41.70,1120,36.20,334,10.80,164,5.30,186,6.00,FALSE,3093
01.05.2020,3561,1424,40.00,1300,36.50,356,10.00,221,6.20,260,7.30,FALSE,3561
02.05.2020,5358,2304,43.00,1875,35.00,536,10.00,268,5.00,375,7.00,FALSE,5358
03.05.2020,5948,2332,39.20,2141,36.00,595,10.00,327,5.50,553,9.30,FALSE,5948
04.05.2020,5795,2492,43.00,2028,35.00,637,11.00,388,6.70,249,4.30,FALSE,5795
05.05.2020,5714,2651,46.40,1943,34.00,400,7.00,189,3.30,531,9.30,FALSE,5714
06.05.2020,5858,2173,37.10,2132,36.40,703,12.00,457,7.80,392,6.70,FALSE,5858
07.05.2020,6703,2540,37.90,2447,36.50,791,11.80,469,7.00,456,6.80,FALSE,6703
08.05.2020,5846,2666,45.60,1929,33.00,561,9.60,322,5.50,368,6.30,FALSE,5846
09.05.2020,5667,2420,42.70,2080,36.70,550,9.70,300,5.30,317,5.60,FALSE,5667
10.05.2020,5551,2237,40.30,1982,35.70,627,11.30,372,6.70,333,6.00,FALSE,5551
11.05.2020,6169,2572,41.70,2036,33.00,642,10.40,333,5.40,586,9.50,FALSE,6169
12.05.2020,5392,2227,41.30,1785,33.10,577,10.70,329,6.10,474,8.80,FALSE,5392
13.05.2020,4703,1961,41.70,1566,33.30,517,11.00,254,5.40,404,8.60,FALSE,4703
14.05.2020,4712,1993,42.30,1682,35.70,424,9.00,283,6.00,330,7.00,FALSE,4712
15.05.2020,4748,1880,39.60,1747,36.80,499,10.50,318,6.70,304,6.40,FALSE,4748
16.05.2020,3505,1479,42.20,1167,33.30,329,9.40,168,4.80,361,10.30,FALSE,3505
17.05.2020,3855,1638,42.50,1272,33.00,409,10.60,220,5.70,316,8.20,FALSE,3855
18.05.2020,3238,1334,41.20,1059,32.70,366,11.30,188,5.80,291,9.00,FALSE,3238
19.05.2020,3545,1485,41.90,1173,33.10,376,10.60,209,5.90,301,8.50,FALSE,3545
20.05.2020,2699,1093,40.50,918,34.00,289,10.70,167,6.20,232,8.60,FALSE,2699
21.05.2020,2913,1238,42.50,973,33.40,288,9.90,166,5.70,248,8.50,FALSE,2913
22.05.2020,2988,1300,43.50,1001,33.50,305,10.20,158,5.30,224,7.50,FALSE,2988
23.05.2020,3190,1305,40.90,1008,31.60,332,10.40,175,5.50,370,11.60,FALSE,3190
24.05.2020,2516,1054,41.90,850,33.80,219,8.70,131,5.20,262,10.40,FALSE,2516
25.05.2020,2560,1108,43.30,850,33.20,248,9.70,131,5.10,223,8.70,FALSE,2560
26.05.2020,2830,1214,42.90,968,34.20,294,10.40,153,5.40,201,7.10,FALSE,2830
27.05.2020,2140,899,42.00,713,33.30,214,10.00,135,6.30,180,8.40,FALSE,2140
28.05.2020,2054,842,41.00,739,36.00,218,10.60,121,5.90,134,6.50,FALSE,2054
